address,balance
"osmo16n9l38vsxt6eakfc8nhdvs09e55mycukv86535",51313408442052760.000000000000000000
"osmo17svzx8g2c2vwdrkplugmlseeldyjp7hkjzerhv",10704083594000826.000000000000000000
"osmo1zvyemtz9tuyhucq6vqfk556zzz62pznya6pch2ndqxtq7amlxkdq3zkl54",5196263411320.583007812500000000
"osmo175za2a8t06strhssssn52dg0k6fh9fslxwqw56",3677221938832.955078125000000000
"osmo1ylerps6nkk07h44anslzryzer56h7ldjhv6zfj",2441343191783.683593750000000000
"osmo150kys3us0tcmu2gpud7sp5rg8upsvmv4066zwn",1151044113512.804443359375000000
"osmo1hxy2pk06knq8j4n42llw2ypwxecuh6xdzh77na",347383021412.537780761718750000
"osmo1s4htaheufgsd3ncjknnjktgsun9ar7s89kjzf0",288768155244.829772949218750000
"osmo1k30uqzg650pksm7rk2dq74xx7sn53aqgz3gpuy",182587486119.240997314453125000
"osmo1z8hpqjja8zng4c8fxhr239d9sqhk7qlc883x9z",16592161680.701856613159179688
"osmo1f080p762n24nlw0synurvf9qqyjgmhltl63u7h43acjph26lg4ks9hda9d",345112267.836488783359527588
"osmo1nd6g0y3cv5tmq7974ayhsmuguvsaepxmvnhtz9",51869507.275709621608257294
"osmo1ky7m39mszht0rveq9y0ramqnash6jp5kwgdd9p",35275752.533646523952484131
"osmo1fpphmed8q2uf7z8esp9dyl3cgm5z5lu0jfpm3c",17600104.585459880530834198
"osmo1m8nsrpx3zcerect526lhseulyxzz99juwucxz0",4030884.432366462424397469
